German,English
der,the
und,and
in,in
sein,be
ein,a
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,Not
es,it
mit,with
sich,themselves
er,he
auf,on
für,for
auch,also
an,on
dass,that
zu,to
als,as
können,can
dies,this
wie,how
wir,we
ihr,your
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only
sagen,say
dann,then
wenn,if
müssen,must
um,around
ja,Yes
kein,no
über,over
da,there
geben,give
vor,before
mein,my
mehr,more
Jahr,Year
du,you
durch,through
viel,a lot of
wollen,want
machen,make
andere,other
sollen,must
schon,nice
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,great
hier,here
ganz,quite
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Good
bis,until
wissen,to know
sehen,see
einer,one
sehr,very
Mal,Times
lassen,leave
neu,New
stehen,stand
unser,our
jede,every
weil,because
unter,among
Mensch,person
ihm,him
ihn,him
denn,because
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,woman
etwas,some
selbst,even
wenig,little
finden,Find
gegen,versus
zwischen,between
drei,three
liegen,lie
wo,Where
nichts,nothing
klein,small
Tag,Day
deutsch,German
bleiben,remain
nun,well
sondern,Then what
heute,today
beide,both
hoch,high
damit,in order to
ohne,without
Mann,man
welch,what
tun,to do
einmal,once
ihnen,them
heißen,mean
ob,if
denken,think
dabei,included
seit,since
einfach,simple
erst,first
Kind,child
Land,country
stellen,put
zeigen,demonstrate
natürlich,Naturally
alt,old
dort,there
Deutschland,Germany
gleich,same
nehmen,take
dürfen,allowed to
wichtig,important
vielleicht,perhaps
hören,Listen
Haus,House
nein,no
wer,who
dazu,to
eigentlich,actually
letzte,last
fragen,questions
Herr,Mr.
halten,keep
glauben,believe
Frage,question
gelten,are valid
gerade,just
folgen,follow
sprechen,speak
führen,to lead
bringen,bring
Welt,World
gar,at all
eigen,own
genau,Exactly
mögen,like
spät,late
bereits,already
möglich,possible
Prozent,percent
während,during
einige,some
dafür,Therefore
kurz,short
richtig,correct
stark,strong
brauchen,need
Hand,hand
etwa,about
weitere,Further
Ende,End
schreiben,write
solch,such
nie,never
Fall,case
schön,beautiful
wirklich,really
denen,whom
nennen,to name
warum,why
ziehen,drag
Wort,Word
darauf,thereon
eben,even
Seite,side
Teil,Part
jung,young
vier,four
besser,better
fast,nearly
schnell,fast
Stadt,city
spielen,to play
zwar,though
Euro,Euro
Arbeit,work
Million,million
Problem,problem
verstehen,to understand
bekommen,receive
meinen,my
davon,from that
fahren,ride
kennen,know
dich,you
Mutter,mother
Woche,Week
Weg,path
weiter,further
Auge,Eye
oft,often
Leute,People
allerdings,Indeed
sogar,even
jedoch,however
setzen,put
deshalb,for this reason
weit,far
sitzen,to sit
Vater,Father
dein,your
arbeiten,work
Geld,money
Unternehmen,Pursue
nächste,next
erklären,explain
klar,clear
Doktor,doctor
Paar,Few
Recht,Right
wegen,because
dir,to you
Wasser,water
bestehen,consist
versuchen,to attempt
Punkt,Point
Grund,reason
Kopf,head
beginnen,begin
laufen,to run
Bild,picture
verschieden,different
Name,Surname
Aufgabe,task
schwer,heavy
entsprechen,correspond
treffen,meet
Art,Kind
wohl,well
Geschichte,Story
erzählen,tell
entstehen,develop
sicher,secure
neben,Next
allein,alone
Abbildung,Illustration
hinter,Behind
besonders,especially
tragen,carry
kaum,hardly
Freund,friend
fünf,five
scheinen,seem to be
Stunde,Hour
aussehen,looks
gern,willingly
überhaupt,at all
bestimmt,definitely
sowie,as
Professor,professor
darüber,about that
deren,whose
schaffen,create
damals,back then
erhalten,obtain
lernen,to learn
frei,free
Wert,value
beziehungsweise,or
daran,to it
suchen,search
Europa,Europe
gemeinsam,together
rund,around
Zahl,Number
Thema,Theme
handeln,act
Buch,A book
bisschen,little
deutlich,clear
anders,different
politisch,politically
lesen,read
Blick,View
Form,shape
einzeln,individually
erreichen,reach
vergehen,pass
leicht,light
je,ever
verlieren,lose
beste,best
bilden,form
Monat,Month
Lösung,solution
Sache,Matter
bekannt,famous
Ziel,Goal
steigen,rise
eher,rather
essen,eat
Minute,minute
Nacht,Night
Platz,Place
schlecht,bad
Spiel,Game
Familie,family
jemand,someone
dessen,whose
fallen,fall
zehn,ten
Preis,Price
europäisch,European
sonst,otherwise
Staat,Country
helfen,help
Bereich,area
tatsächlich,In fact
Ort,location
Abend,Evening
einzig,only
Stelle,Job
unterschiedlich,differently
Gesicht,face
Entwicklung,development
Uhr,Clock
mehrere,several
schließen,shut down
schließlich,after all
legen,place
direkt,direct
daher,hence
offen,open
erkennen,detect
Person,person
Moment,moment
Schule,school
darin,in this
Auto,automobile
niemand,nobody
Gesellschaft,company
warten,waiting
vorstellen,to introduce
früh,early
treten,step
reden,talk
Gruppe,group
Ding,thing
na,n / A
gewinnen,to win
zunächst,first
damit,in order to
Tür,door
Schritt,Step
entwickeln,develop
meiste,most
Möglichkeit,possibility
Sinn,sense
passieren,happen
manchmal,sometimes
Vergleich,comparison
System,system
Rolle,role
Ergebnis,result
vergleichen,to compare
voll,full
erwarten,expect
obwohl,although
Straße,road
Angst,fear
allgemein,generally
fühlen,feel
jene,those
erinnern,remember
oh,Oh
bedeuten,mean
Stimme,Voice
Reaktion,reaction
wirken,Act
darstellen,represent
Raum,Space
Eltern,parents
bezeichnen,describe
Funktion,function
häufig,frequently
erscheinen,to appear
Vereinigte Staaten von Amerika,United States of America
Flüchtling,refugee
früher,previously
pro,Per
ergeben,result
entscheiden,decide
Universität,university
betreffen,affect
oben,above
Richtung,Direction
bestimmen,determine
fehlen,miss
Sprache,language
Produkt,product
Situation,situation
außerdem,in addition to that
nämlich,namely
international,international
Anfang,beginning
sechs,six
nutzen,to use
sozial,social
Folge,Consequence
Satz,Sentence
manche,some
Verbindung,connection
beschreiben,describe
Licht,light
ähnlich,similar
Regel,Rule
gegenüber,opposite to
Kollege,colleague
bisher,until now
tief,deep
halb,half
lachen,laugh
ebenfalls,also
sofort,right away
Grenze,Border
ändern,change
Entscheidung,decision
verlassen,leaving
Idee,idea
verbinden,associate
Milliarde,billion
endlich,Finally
Energie,energy
plötzlich,suddenly
danach,after that
Kraft,power
lieber,rather
gehören,belong
einsetzen,insert
Gefühl,feeling
trotzdem,despite it
befinden,are located
Information,information
dadurch,through this
dagegen,against it
Weise,Way
Zukunft,future
wachsen,to grow
bitte,You're welcome
weiß,White
Text,text
schwarz,black
sterben,die
Markt,market
rot,red
halt,just
Meter,meter
nahe,vicinity
Hilfe,Help
Kapitel,Chapter
ausgehen,go out
Bedeutung,meaning
betrachten,consider
Chemie,Chemistry
Luft,Air
Körper,Body
Struktur,structure
stimmen,voices
bitten,asking for
Jahrhundert,century
wahrscheinlich,probably
öffentlich,publicly
euch,to you
insgesamt,a total of
anfangen,begin
genug,enough
Deutsche,German
verändern,change
Wohnung,apartment
gelingen,succeed
bald,soon
gering,small amount
Film,Movie
kaufen,to buy
ansehen,look at
öffnen,to open
Musik,music
schauen,look
Stück,piece
besondere,special
tot,dead
Gott,God
völlig,fully
positiv,positive
Gespräch,conversation
darum,therefore
Kunde,customer
Menge,Crowd
Regierung,government
Antwort,answer
annehmen,accept
falsch,not correct
Zusammenhang,connection
langsam,slow
Arm,poor
nachdem,after this
Tisch,table
rufen,call
bieten,Offer
Herz,heart
zusammen,together
inzwischen,in the meantime
