Italian,English
e,and
non,not
che,that
di,Of
la,there
il,the
un,a
a,to
per,for
è,and
in,in
una,a
mi,me
sono,I am
ho,I have
si,yes
ha,has
ma,but
lo,the
cosa,what
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,like
io,I
ci,there
hai,you have
questo,this
bene,Well
qui,here
sei,six
del,of the
tu,you
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,was
della,from the
mia,my
fatto,done
fare,Do
essere,to be
so,I know
quando,when
sì,Yes
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,because
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,everyone
dei,of the
grazie,thank you
chi,who
sta,is
molto,very
più,more
voglio,I want
perché,Why
tuo,your
beh,well
sia,be
nel,in the
lui,he
allora,so
posso,I can
piu,more
ehi,hey
prima,first
tua,your
suo,his
niente,nothing
qualcosa,something
sai,you know
siamo,are
un',a
cosi,so
davvero,really
ancora,Still
hanno,they have
stai,you are
fa,does
sua,her
così,like this
casa,home
uno,one
dove,where is it
su,up
vero,real
vuoi,you want
noi,we
due,two
quindi,so
dire,to say
d',d '
delle,of the
quella,that
sempre,always
altro,other
sto,this
andare,to go
ad,to
po,little
loro,They
devo,I must
quel,that
forse,maybe
li,there
proprio,own
certo,Certain
tempo,time
nella,in the
poi,then
vi,you
credo,I believe
vita,life
cose,what's this
sul,on the
quanto,how much
puoi,you can
fuori,outside
anni,years
cui,which
andiamo,let's go
dell',of
parte,part
visto,seen
qualcuno,someone
all',at
lavoro,Work
voi,you
ciao,Hello
dio,God
volta,time
dopo,after
adesso,now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,already
amico,friend
ed,and
posto,place
nessuno,nobody
via,Street
cos',so
fai,do
signore,man
meglio,better
cazzo,fuck
dai,come on
dal,from
vuole,wants
sembra,it seems
giorno,day
ogni,Everything is fine
modo,way
senza,without
vedere,see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,there
parlare,speak
tra,between
mamma,mum
già,already
sarebbe,would be
dalla,from the
troppo,too
fosse,is
possiamo,we can
ce,there is
nuovo,new
male,bad
madre,mother
avete,you have
tanto,much
favore,favor
successo,success
vai,Go
sulla,on the
giusto,right
sa,know
miei,my
aspetta,wait
avere,have
altra,other
farlo,to do it
alle,to
facendo,doing
abbia,have
momento,moment
ero,was
aveva,I had
ragazzi,lads
deve,needs to
persone,people
nostro,our
tipo,guy
prego,You are welcome
grande,great
può,can
senti,feel
appena,just
potrebbe,could be
soldi,money
dice,He says
sapere,know
tre,three
oggi,today
questi,these
piace,like it
idea,idea
siete,you are
ai,to the
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,safe
vieni,Come
degli,of the
guarda,look
dentro,inside
trovato,found it
queste,these
caso,case
forza,force
dov',where to
tutte,all
pensi,think
signora,Mrs
faccio,I do
nome,first name
