French,English
le,the
de,of
un,a
à,to
être,to be
et,and
en,in
avoir,to have
que,that
pour,to
dans,in
ce,this
il,he
qui,who
ne,not
sur,on
se,se
pas,not
plus,more
pouvoir,to be able to
par,by
je,I
avec,with
tout,everything
faire,To do
son,his
mettre,to put
autre,other
on,we
mais,but
nous,we
comme,as
ou,Where
si,if
leur,their
dire,say
elle,she
devoir,Homework
avant,before
deux,of them
même,even
prendre,take
aussi,Also
celui,that's why I wrote to you
donner,give
bien,Well
où,where
fois,time
vous,you
encore,again
nouveau,new
aller,go
cela,that
entre,Between
premier,first
vouloir,want
déjà,already
grand,big
mon,my
me,me
moins,less
aucun,none
lui,him
temps,time
très,very
savoir,to know
falloir,to need
voir,see
quelque,some
sans,without
raison,raison
notre,our
dont,of which
non,Nope
an,year
monde,world
jour,day
monsieur,sir
demander,asking for
alors,then
après,after
trouver,to find
personne,person
rendre,render
part,go
dernier,last
venir,come
pendant,during
passer,pass
peu,little
lequel,which
suite,following
bon,Well
comprendre,understand
depuis,since
point,point
ainsi,thus
heure,hour
rester,stay
seul,Alone
année,year
toujours,always
tenir,hold
porter,carry
parler,to speak
fort,strong
montrer,to show
là,the
certain,certain
fin,end
tu,you
continuer,Continue
pays,country
trois,three
penser,think
lieu,location
partie,part
quand,when
suivre,to follow
contre,against
sous,under
côté,side
ensemble,whole
chose,thing
enfant,child
cause,cause
politique,Politics
place,square
seulement,only
moi,me
vie,life
connaître,to know
jusque,until
croire,believe
homme,male
cas,case
petit,small
commencer,to start
compter,count
fait,do
tel,Phone
droit,right
question,question
donc,So
quel,what
général,general
moment,moment
entendre,To hear
beaucoup,many
chaque,each
jeune,young
travail,work
femme,women
attendre,expect
remettre,to put back
appeler,to call
permettre,to permit
occuper,to occupy
gouvernement,government
eux,them
devenir,to become
partir,leave
plan,plan
décider,decide
soit,either
ici,here
rien,nothing
cours,Classes
affaire,affair
nom,name
famille,family
effet,effect
arriver,arrive
possible,possible
car,because
servir,to serve
mois,month
jamais,never
sembler,seem
tant,so much
vers,toward
besoin,need
revenir,to come back
dès,of the
moyen,average
groupe,band
problème,problem
rapport,report
peut-être,maybe
vue,seen
maintenant,now
pourquoi,for what
meilleur,better
trop,too
laisser,let
ordre,order
devant,in front
recevoir,receive
répondre,reply
vivre,to live
long,long
service,service
ministre,minister
face,face
chez,at the house of
te,you
rappeler,remind
présenter,to present
accepter,accept
agir,to act
simple,simple
plusieurs,many
votre,your
important,important
présent,here
mieux,better
poser,to pose
jouer,player
mot,word
reconnaître,to acknowledge
force,strength
situation,situation
offrir,to offer
près,close
choisir,Choose
national,national
projet,project
ni,neither
puis,then
toucher,to touch
train,train
aujourd'hui,today
comment,How? 'Or' What
surtout,Above all
gens,people
propre,clean
grâce,grace
idée,idea
selon,according to
région,region
aimer,to like
sens,sense
