German,English
der,the
und,and
in,in
sein,be
ein,a
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,Not
es,it
mit,with
sich,themselves
er,he
auf,on
für,for
auch,also
an,on
dass,that
zu,to
als,as
können,can
dies,this
wie,how
wir,we
ihr,your
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only
sagen,say
dann,then
wenn,if
müssen,must
um,around
ja,Yes
kein,no
über,over
da,there
geben,give
vor,before
mein,my
mehr,more
Jahr,Year
du,you
durch,through
viel,a lot of
wollen,want
machen,make
andere,other
sollen,must
schon,nice
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,great
hier,here
ganz,quite
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Good
bis,until
wissen,to know
sehen,see
einer,one
sehr,very
Mal,Times
lassen,leave
neu,New
stehen,stand
unser,our
jede,every
weil,because
unter,among
Mensch,person
ihm,him
ihn,him
denn,because
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,woman
etwas,some
selbst,even
wenig,little
finden,Find
gegen,versus
zwischen,between
drei,three
liegen,lie
wo,Where
nichts,nothing
klein,small
Tag,Day
deutsch,German
bleiben,remain
nun,well
sondern,Then what
heute,today
beide,both
hoch,high
damit,in order to
ohne,without
Mann,man
welch,what
tun,to do
einmal,once
ihnen,them
heißen,mean
ob,if
denken,think
dabei,included
seit,since
einfach,simple
erst,first
Kind,child
Land,country
stellen,put
zeigen,demonstrate
natürlich,Naturally
alt,old
dort,there
Deutschland,Germany
gleich,same
nehmen,take
dürfen,allowed to
wichtig,important
vielleicht,perhaps
hören,Listen
Haus,House
nein,no
wer,who
dazu,to
eigentlich,actually
letzte,last
fragen,questions
Herr,Mr.
halten,keep
glauben,believe
Frage,question
gelten,are valid
gerade,just
folgen,follow
sprechen,speak
führen,to lead
bringen,bring
Welt,World
gar,at all
eigen,own
genau,Exactly
mögen,like
spät,late
bereits,already
möglich,possible
Prozent,percent
während,during
einige,some
dafür,Therefore
kurz,short
richtig,correct
stark,strong
brauchen,need
Hand,hand
etwa,about
weitere,Further
Ende,End
schreiben,write
solch,such
nie,never
Fall,case
schön,beautiful
wirklich,really
denen,whom
nennen,to name
warum,why
ziehen,drag
Wort,Word
darauf,thereon
eben,even
Seite,side
Teil,Part
jung,young
vier,four
besser,better
fast,nearly
schnell,fast
Stadt,city
spielen,to play
zwar,though
Euro,Euro
Arbeit,work
Million,million
Problem,problem
verstehen,to understand
bekommen,receive
meinen,my
davon,from that
fahren,ride
kennen,know
dich,you
Mutter,mother
Woche,Week
Weg,path
weiter,further
Auge,Eye
oft,often
Leute,People
allerdings,Indeed
sogar,even
jedoch,however
setzen,put
deshalb,for this reason
weit,far
sitzen,to sit
Vater,Father
dein,your
arbeiten,work
Geld,money
Unternehmen,Pursue
nächste,next
erklären,explain
klar,clear
Doktor,doctor
Paar,Few
Recht,Right
wegen,because
dir,to you
Wasser,water
bestehen,consist
versuchen,to attempt
Punkt,Point
Grund,reason
Kopf,head
